Count,Priority,Market Type,State,Market,Label,% Homes Passed (pct availability),Market Share %,"Multi-Cultural (Hispanic, Asian, African American)",Gateway Index,Rethink,Intercept,Nudge,Win,Grow,Rethink-TV,Rethink-CTV,Rethink-Radio,Rethink-Sponsorships,Rethink-OOH/DOOH,Rethink-INFLUENCERS / SOCIAL AMPLIFICATION,Intercept-CTV,Intercept-Audio,Intercept-Search Non Brand,Intercept-Social,Intercept-DIGITAL AUDIO,Intercept-OOH / DOOH,Nudge-Search Brand,Nudge-Digital Video,Nudge-Social,Nudge-Digital Display,Win-Digital Video,Win-Digital Display,Win-Social,Win-Search Non Brand,Total
131,142,Non-Broadcast,Rhode Island,Providence - New Bedford,FOCUS,1%,1%,25%,63.47,14%,41%,15%,30%,0%,,"$8,666.91","$1,539.90",,"$1,995.85",,"$8,666.91","$4,966.98","$18,859.00","$2,393.45",,"$1,330.57",,"$4,611.59","$3,350.83","$5,334.95","$1,537.20","$1,778.32","$3,829.52","$18,859.00","$87,720.97"
132,131,Non-Broadcast,Illinois,Quincy - Hannibal - Keokuk,FOCUS,1%,9%,8%,69.66,14%,41%,15%,30%,0%,,"$6,777.56","$1,204.21",,"$1,560.77",,"$6,777.56","$3,884.20","$14,747.82","$1,871.69",,"$1,040.51",,"$3,606.29","$2,620.37","$4,171.95","$1,202.10","$1,390.65","$2,994.71","$14,747.82","$68,598.21"
133,132,Non-Broadcast,South Dakota,Rapid City,FOCUS,42%,14%,7%,0,14%,41%,15%,30%,0%,,"$5,887.12","$1,046.00",,"$1,355.71",,"$5,887.12","$3,373.89","$12,810.24","$1,625.79",,$903.81,,"$3,132.49","$2,276.10","$3,623.84","$1,044.16","$1,207.95","$2,601.26","$12,810.24","$59,585.72"
134,149,Non-Broadcast,Virginia,Richmond - Petersburg,FOCUS,9%,3%,40%,101.2,14%,41%,15%,30%,0%,,"$7,641.13","$1,357.65",,"$1,759.63",,"$7,641.13","$4,379.11","$16,626.93","$2,110.17",,"$1,173.09",,"$4,065.79","$2,954.24","$4,703.53","$1,355.26","$1,567.84","$3,376.28","$16,626.93","$77,338.71"
135,152,Non-Broadcast,Virginia,Roanoke - Lynchburg,FOCUS,12%,4%,21%,91.9,14%,41%,15%,30%,0%,,"$7,648.43","$1,358.94",,"$1,761.32",,"$7,648.43","$4,383.29","$16,642.82","$2,112.19",,"$1,174.21",,"$4,069.67","$2,957.07","$4,708.02","$1,356.56","$1,569.34","$3,379.50","$16,642.82","$77,412.62"
136,128,Non-Broadcast,Illinois,Rockford,FOCUS,21%,7%,28%,78.75,14%,41%,15%,30%,0%,,"$7,146.84","$1,269.82",,"$1,645.81",,"$7,146.84","$4,095.83","$15,551.37","$1,973.67",,"$1,097.20",,"$3,802.78","$2,763.14","$4,399.26","$1,267.59","$1,466.42","$3,157.87","$15,551.37","$72,335.81"
137,105,Non-Broadcast,California,Sacramento - Stockton - Modesto,FOCUS,2%,3%,51%,63.26,14%,41%,15%,30%,0%,,"$10,355.57","$1,839.94",,"$2,384.73",,"$10,355.57","$5,934.75","$22,533.50","$2,859.79",,"$1,589.82",,"$5,510.12","$4,003.71","$6,374.41","$1,836.71","$2,124.80","$4,575.67","$22,533.50","$104,812.61"
138,147,Non-Broadcast,Maryland,Salisbury,FOCUS,97%,2%,28%,43.52,14%,41%,15%,30%,0%,,"$36,005.90","$6,397.39",,"$8,291.60",,"$36,005.90","$20,634.87","$78,348.06","$9,943.39",,"$5,527.74",,"$19,158.46","$13,920.74","$22,163.57","$6,386.15","$7,387.86","$15,909.42","$78,348.06","$364,429.13"
139,83,Non-Broadcast,California,San Diego,FOCUS,30%,8%,53%,89.79,14%,41%,15%,30%,0%,,"$47,984.74","$8,525.74",,"$11,050.15",,"$47,984.74","$27,499.91","$104,413.77","$13,251.47",,"$7,366.76",,"$25,532.31","$18,552.05","$29,537.19","$8,510.77","$9,845.73","$21,202.34","$104,413.77","$485,671.45"
140,121,Non-Broadcast,California,San Francisco - Oakland - San Jose,FOCUS,1%,4%,60%,203.7,14%,41%,15%,30%,0%,,"$10,688.64","$1,899.12",,"$2,461.43",,"$10,688.64","$6,125.63","$23,258.26","$2,951.78",,"$1,640.95",,"$5,687.34","$4,132.49","$6,579.44","$1,895.78","$2,193.15","$4,722.84","$23,258.26","$108,183.73"
141,99,Non-Broadcast,California,Santa Barbara - Santa Maria - San Luis Obispo,FOCUS,3%,31%,47%,124.57,14%,41%,15%,30%,0%,,"$3,662.29",$650.70,,$843.37,,"$3,662.29","$2,098.85","$7,969.06","$1,011.38",,$562.25,,"$1,948.68","$1,415.93","$2,254.34",$649.56,$751.45,"$1,618.20","$7,969.06","$37,067.40"
142,112,Non-Broadcast,Georgia,Savannah,FOCUS,1%,7%,39%,101.87,14%,41%,15%,30%,0%,,"$7,221.17","$1,283.03",,"$1,662.92",,"$7,221.17","$4,138.43","$15,713.11","$1,994.20",,"$1,108.62",,"$3,842.33","$2,791.88","$4,445.02","$1,280.78","$1,481.67","$3,190.72","$15,713.11","$73,088.15"
143,117,Non-Broadcast,Washington,Seattle - Tacoma,FOCUS,6%,2%,30%,117.98,14%,41%,15%,30%,0%,,"$7,368.25","$1,309.16",,"$1,696.79",,"$7,368.25","$4,222.72","$16,033.14","$2,034.81",,"$1,131.20",,"$3,920.59","$2,848.74","$4,535.55","$1,306.86","$1,511.85","$3,255.70","$16,033.14","$74,576.76"
144,154,Non-Broadcast,Texas,Sherman-Tx - Ada-Ok,FOCUS,1%,6%,17%,243.97,14%,41%,15%,30%,0%,,"$7,905.98","$1,404.70",,"$1,820.63",,"$7,905.98","$4,530.89","$17,203.24","$2,183.31",,"$1,213.75",,"$4,206.71","$3,056.64","$4,866.56","$1,402.24","$1,622.19","$3,493.30","$17,203.24","$80,019.36"
145,140,Non-Broadcast,Louisiana,Shreveport,FOCUS,6%,2%,40%,76.11,14%,41%,15%,30%,0%,,"$7,466.38","$1,326.60",,"$1,719.39",,"$7,466.38","$4,278.96","$16,246.68","$2,061.92",,"$1,146.26",,"$3,972.80","$2,886.68","$4,595.96","$1,324.27","$1,531.99","$3,299.06","$16,246.68","$75,570.02"
146,101,Non-Broadcast,Washington,Spokane,FOCUS,2%,10%,14%,34.4,14%,41%,15%,30%,0%,,"$7,474.57","$1,328.05",,"$1,721.28",,"$7,474.57","$4,283.65","$16,264.50","$2,064.18",,"$1,147.52",,"$3,977.16","$2,889.85","$4,601.00","$1,325.72","$1,533.67","$3,302.68","$16,264.50","$75,652.90"
147,107,Non-Broadcast,Massachusetts,Springfield - Holyoke,FOCUS,2%,7%,31%,106.73,14%,41%,15%,30%,0%,,"$8,517.18","$1,513.30",,"$1,961.38",,"$8,517.18","$4,881.17","$18,533.20","$2,352.10",,"$1,307.58",,"$4,531.93","$3,292.95","$5,242.78","$1,510.64","$1,747.59","$3,763.37","$18,533.20","$86,205.55"
148,124,Non-Broadcast,Missouri,Springfield-Mo,FOCUS,28%,4%,8%,52.05,14%,41%,15%,30%,0%,,"$29,498.61","$5,241.19",,"$6,793.07",,"$29,498.61","$16,905.56","$64,188.33","$8,146.33",,"$4,528.72",,"$15,695.98","$11,404.87","$18,157.98","$5,231.99","$6,052.66","$13,034.13","$64,188.33","$298,566.38"
149,150,Non-Broadcast,Florida,Tallahassee - Thomasville,FOCUS,15%,5%,41%,62.31,14%,41%,15%,30%,0%,,"$7,641.90","$1,357.78",,"$1,759.81",,"$7,641.90","$4,379.55","$16,628.60","$2,110.39",,"$1,173.21",,"$4,066.19","$2,954.54","$4,704.00","$1,355.40","$1,568.00","$3,376.62","$16,628.60","$77,346.49"
150,114,Non-Broadcast,Indiana,Terre Haute,FOCUS,87%,19%,7%,40.73,14%,41%,15%,30%,0%,,"$31,746.23","$5,640.54",,"$7,310.67",,"$31,746.23","$18,193.67","$69,079.11","$8,767.04",,"$4,873.78",,"$16,891.92","$12,273.85","$19,541.51","$5,630.64","$6,513.84","$14,027.26","$69,079.11","$321,315.40"
151,146,Non-Broadcast,Texas,Tyler - Longview - Lufkin - Nacogdoches,FOCUS,4%,3%,36%,60.41,14%,41%,15%,30%,0%,,"$9,004.27","$1,599.84",,"$2,073.54",,"$9,004.27","$5,160.32","$19,593.09","$2,486.62",,"$1,382.36",,"$4,791.10","$3,481.26","$5,542.61","$1,597.03","$1,847.54","$3,978.59","$19,593.09","$91,135.52"
152,143,Non-Broadcast,Ohio,Wheeling - Steubenville,FOCUS,27%,9%,5%,147.68,14%,41%,15%,30%,0%,,"$6,502.96","$1,155.42",,"$1,497.53",,"$6,502.96","$3,726.83","$14,150.31","$1,795.86",,$998.35,,"$3,460.18","$2,514.20","$4,002.92","$1,153.39","$1,334.31","$2,873.37","$14,150.31","$65,818.91"
153,,Non-Broadcast,Kansas,Wichita - Hutchinson,FOCUS,9%,3%,39%,100,14%,41%,15%,30%,0%,,"$7,659.83","$1,360.97",,"$1,763.94",,"$7,659.83","$4,389.83","$16,667.63","$2,115.34",,"$1,175.96",,"$4,075.74","$2,961.48","$4,715.04","$1,358.58","$1,571.68","$3,384.54","$16,667.63","$77,528.02"
154,113,Non-Broadcast,Texas,Wichita Falls - Lawton,FOCUS,91%,10%,52%,51.76,14%,41%,15%,30%,0%,,"$31,657.93","$5,624.85",,"$7,290.33",,"$31,657.93","$18,143.06","$68,886.96","$8,742.65",,"$4,860.22",,"$16,844.94","$12,239.71","$19,487.16","$5,614.98","$6,495.72","$13,988.24","$68,886.96","$320,421.65"
155,137,Non-Broadcast,Pennsylvania,Wilkes Barre - Scranton,FOCUS,3%,1%,30%,77.75,14%,41%,15%,30%,0%,,"$7,487.90","$1,330.42",,"$1,724.35",,"$7,487.90","$4,291.30","$16,293.52","$2,067.86",,"$1,149.57",,"$3,984.26","$2,895.00","$4,609.21","$1,328.09","$1,536.40","$3,308.58","$16,293.52","$75,787.87"
